689859	1006,1003,996,1009,1010,1025,1008,1029,990,980,984,981,982,983,985,987,975
715450	1006,996,1029,1043,1052,1010,1013,1016,1025,1008,1009,985,987,990,980,984,982
1271029	1003,1006,996,1029,1043,1009,1010,1016,1025,975,983,984,981,980,985,987,990
1273271	1009,1052,1010,1013,1025,1029,1008,996,1006,1003,980,985,982,983,984,990,981
1328546	996,1003,1009,1052,1006,1008,1010,1013,1016,1025,1029,987,983,981,982,980,990
1573073	1006,996,975,980,985,987,990,982,983,981,1008,1009,1010,1029,1043,1013,1025
1620256	1052,1008,1009,1010,1013,1025,1029,1006,996,987,981,975,980,982,983,984,990
2061069	981,982,983,990,980,985,987,984,1006,996,1003,1010,1025,1052,1008,1029,1009
2072061	981,982,990,980,983,984,985,987,975,1006,1008,1010,1013,1009,1029,1052,996
2075433	1010,1016,1025,1009,1029,1043,1006,1008,981,982,983,984,975,987,990,996,1003
3	984,985,975,982,983,980,981,987,990,996,1003,1006,1009,1010,1029,1052
5	1029,1052,1006,1008,1009,1010,990,996,981,983,984,985,975,987,980,1003
812	1006,996,1003,975,983,984,985,987,990,980,1029,1043,1052,1009,1010,1016
918	990,996,982,983,984,975,980,987,981,1006,1003,1052,1009,1010,1013,1029
1162	1052,1006,1008,1009,1025,1029,996,1003,985,982,983,984,975,980,981,990
1212	1006,1003,996,985,987,990,984,981,975,982,980,1009,1010,1029,1052,1025
1672	1006,1003,996,981,987,990,980,982,983,975,984,985,1052,1009,1013,1029
